                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                     33,                 1.3596,                 0.5911,                0.94227,                 1.0088,                0.87739,                0.68254,                0.80543,                0.49267,                0.89842,                0.69841,                0.82716,                0.42434,                 1.4238,                0.71952,                0.88946,                 1.1527,               0.003664,               0.003664,               0.003664
                     34,                 1.2968,                0.50492,                0.87911,                 1.0578,                0.87739,                0.68254,                0.80543,                0.49267,                0.89842,                0.69841,                0.82716,                0.42434,                 1.4238,                0.71952,                0.88946,                 1.1527,               0.003466,               0.003466,               0.003466
                     35,                 1.3645,                0.76072,                 1.0234,                 1.0511,                0.87739,                0.68254,                0.80543,                0.49267,                0.89842,                0.69841,                0.82716,                0.42434,                 1.4238,                0.71952,                0.88946,                 1.1527,               0.003268,               0.003268,               0.003268
                     36,                 1.5669,                0.57113,                 1.9191,                0.98729,                0.83243,                 0.7619,                0.86429,                0.51646,                 0.8507,                0.77778,                0.87617,                0.44865,                 1.4617,                0.69072,                 0.8303,                 1.1605,                0.00307,                0.00307,                0.00307
                     37,                 1.4796,                0.59675,                0.84933,                0.98134,                0.83243,                 0.7619,                0.86429,                0.51646,                 0.8507,                0.77778,                0.87617,                0.44865,                 1.4617,                0.69072,                 0.8303,                 1.1605,               0.002872,               0.002872,               0.002872
                     38,                 1.2551,                0.62332,                0.98333,                 1.0421,                0.83243,                 0.7619,                0.86429,                0.51646,                 0.8507,                0.77778,                0.87617,                0.44865,                 1.4617,                0.69072,                 0.8303,                 1.1605,               0.002674,               0.002674,               0.002674
                     39,                 1.3301,                0.57797,                0.88846,                 1.1111,                0.89453,                0.73016,                0.87323,                0.52576,                 0.9145,                0.74603,                0.86997,                 0.4689,                 1.4681,                0.69501,                0.83722,                 1.1717,               0.002476,               0.002476,               0.002476
                     40,                 1.4154,                0.56362,                  1.138,                 1.0755,                0.89453,                0.73016,                0.87323,                0.52576,                 0.9145,                0.74603,                0.86997,                 0.4689,                 1.4681,                0.69501,                0.83722,                 1.1717,               0.002278,               0.002278,               0.002278
                     41,                 1.4111,                0.70394,                0.97383,                 1.1848,                0.89453,                0.73016,                0.87323,                0.52576,                 0.9145,                0.74603,                0.86997,                 0.4689,                 1.4681,                0.69501,                0.83722,                 1.1717,                0.00208,                0.00208,                0.00208
                     42,                 1.7543,                0.94478,                  1.398,                 1.0462,                0.88391,                0.72521,                 0.8541,                0.50835,                0.90326,                0.74109,                0.83241,                0.44536,                 1.4321,                0.73816,                 1.0822,                 1.1724,               0.001882,               0.001882,               0.001882
                     43,                 1.5335,                 0.6475,                 1.2903,                 1.1529,                0.88391,                0.72521,                 0.8541,                0.50835,                0.90326,                0.74109,                0.83241,                0.44536,                 1.4321,                0.73816,                 1.0822,                 1.1724,               0.001684,               0.001684,               0.001684
                     44,                 1.2457,                0.67435,                  1.095,                 1.0622,                0.88391,                0.72521,                 0.8541,                0.50835,                0.90326,                0.74109,                0.83241,                0.44536,                 1.4321,                0.73816,                 1.0822,                 1.1724,               0.001486,               0.001486,               0.001486
                     45,                 1.3432,                0.96838,                 1.2496,                 1.0214,                0.86093,                0.74603,                0.87502,                0.50492,                0.88041,                0.74603,                0.83493,                0.44062,                 1.4415,                0.72751,                 1.0897,                 1.1676,               0.001288,               0.001288,               0.001288
                     46,                 1.3631,                0.58632,                 1.1836,                 1.1528,                0.86093,                0.74603,                0.87502,                0.50492,                0.88041,                0.74603,                0.83493,                0.44062,                 1.4415,                0.72751,                 1.0897,                 1.1676,                0.00109,                0.00109,                0.00109
                     47,                 1.3391,                0.63177,                 1.1062,                  1.092,                0.86093,                0.74603,                0.87502,                0.50492,                0.88041,                0.74603,                0.83493,                0.44062,                 1.4415,                0.72751,                 1.0897,                 1.1676,               0.000892,               0.000892,               0.000892
                     48,                 1.3385,                0.49279,                0.99593,                 1.2153,                0.86093,                0.74603,                0.87502,                0.50492,                0.88041,                0.74603,                0.83493,                0.44062,                 1.4415,                0.72751,                 1.0897,                 1.1676,               0.000694,               0.000694,               0.000694
                     49,                 1.5119,                0.67952,                 1.1699,                 1.2147,                0.87272,                0.74603,                0.86636,                0.51396,                0.89323,                 0.7619,                0.86278,                0.45585,                 1.4388,                0.71188,                0.99606,                 1.1629,               0.000496,               0.000496,               0.000496
                     50,                0.89707,                0.73016,                0.87301,                0.52538,                0.91712,                0.74603,                0.86956,                0.46872,                 1.4672,                0.69532,                0.83329,                 1.1718
